date,close,ema200,fg_value,slope_pct,regime
2024-04-04,99361000.0,66670620.0,70.0,11.6347,BULL
2024-04-05,98394000.0,66986276.0,79.0,11.4752,BULL
2024-04-06,99023000.0,67305049.0,75.0,11.2718,BULL
2024-04-07,99369000.0,67624093.0,78.0,11.0947,BULL
2024-04-08,102101000.0,67967147.0,76.0,11.0826,BULL
2024-04-09,99350000.0,68279414.0,80.0,10.8979,BULL
2024-04-10,100600000.0,68601012.0,78.0,10.8117,BULL
2024-04-11,100541000.0,68918823.0,76.0,10.7563,BULL
2024-04-12,99776000.0,69225859.0,79.0,10.7001,BULL
2024-04-13,97149000.0,69503702.0,72.0,10.5448,BULL
2024-04-14,98905000.0,69796252.0,72.0,10.3756,BULL
2024-04-15,96527000.0,70062229.0,74.0,10.158,BULL
2024-04-16,95597000.0,70316307.0,65.0,9.9334,BULL
2024-04-17,91419000.0,70526284.0,67.0,9.6317,BULL
2024-04-18,93356000.0,70753445.0,57.0,9.3847,BULL
2024-04-19,93390000.0,70978685.0,66.0,9.1402,BULL
2024-04-20,94805000.0,71215762.0,66.0,8.906,BULL
2024-04-21,94868000.0,71451108.0,72.0,8.6919,BULL
2024-04-22,97192000.0,71707236.0,73.0,8.5832,BULL
2024-04-23,96045000.0,71949403.0,71.0,8.4521,BULL
2024-04-24,93534000.0,72164175.0,72.0,8.2398,BULL
2024-04-25,92745000.0,72368959.0,72.0,8.0355,BULL
2024-04-26,91951000.0,72563806.0,70.0,7.8133,BULL
2024-04-27,91499000.0,72752216.0,67.0,7.5833,BULL
2024-04-28,90530000.0,72929109.0,65.0,7.3005,BULL
2024-04-29,91400000.0,73112899.0,67.0,7.079,BULL
2024-04-30,87137000.0,73252442.0,67.0,6.7804,BULL
2024-05-01,83499000.0,73354398.0,54.0,6.4359,BULL
2024-05-02,83078000.0,73451150.0,43.0,6.1036,BULL
2024-05-03,89291000.0,73608761.0,48.0,5.9062,BULL
2024-05-04,90303000.0,73774873.0,67.0,5.7003,BULL
2024-05-05,90061000.0,73936924.0,69.0,5.5304,BULL
2024-05-06,88804000.0,74084855.0,71.0,5.3594,BULL
2024-05-07,87595000.0,74219284.0,68.0,5.2363,BULL
2024-05-08,85872000.0,74335231.0,64.0,5.0623,BULL
2024-05-09,88116000.0,74472353.0,55.0,4.9221,BULL
2024-05-10,85842000.0,74585484.0,66.0,4.7317,BULL
2024-05-11,85791000.0,74696982.0,53.0,4.5428,BULL
2024-05-12,86521000.0,74814634.0,56.0,4.3335,BULL
2024-05-13,87928000.0,74945115.0,57.0,4.1636,BULL
2024-05-14,86500000.0,75060089.0,66.0,4.013,BULL
2024-05-15,92111000.0,75229750.0,64.0,3.9531,BULL
2024-05-16,90800000.0,75384678.0,70.0,3.8874,BULL
2024-05-17,92646000.0,75556432.0,74.0,3.8545,BULL
2024-05-18,93066000.0,75730657.0,73.0,3.8415,BULL
2024-05-19,92185000.0,75894382.0,72.0,3.8044,BULL
2024-05-20,97260000.0,76106975.0,70.0,3.8968,BULL
2024-05-21,96700000.0,76311881.0,76.0,4.0318,BULL
2024-05-22,95421000.0,76502021.0,76.0,4.1536,BULL
2024-05-23,94900000.0,76685085.0,76.0,4.1793,BULL
2024-05-24,95214000.0,76869453.0,74.0,4.1946,BULL
2024-05-25,96240000.0,77062195.0,76.0,4.2269,BULL
2024-05-26,95610000.0,77246750.0,75.0,4.2679,BULL
2024-05-27,96050000.0,77433847.0,74.0,4.3312,BULL
2024-05-28,94600000.0,77604654.0,72.0,4.3982,BULL
2024-05-29,93910000.0,77766897.0,72.0,4.4238,BULL
2024-05-30,94943000.0,77937803.0,73.0,4.4946,BULL
2024-05-31,94505000.0,78102651.0,73.0,4.5593,BULL
2024-06-01,94720000.0,78267998.0,72.0,4.6159,BULL
